Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,4,4,300.0,1200.0,Shipping on time,1,64,Computers,Caguas,Puerto Rico,XXXXXXXXX,Willow,14151,Levine,XXXXXXXXX,Corporate,PR,4389 Thunder Byway,725.0,10,Technology,18.27977562,-66.03705597,Europe,Lyon,Francia,14151,12/6/2018 20:07,70598,1351,300.0,0.200000003,173913,1500.0,0.25,1,1500.0,1200.0,300.0,Western Europe,Auvernia-Ródano-Alpes,PENDING_PAYMENT,,1351,64,,http://images.acmesports.sports/Dell+Laptop,Dell Laptop,1500.0,0,12/6/2018 20:07,Standard Class
PAYMENT,2,1,125.2900009,370.6700134,Late delivery,1,62,Cameras ,Caguas,Puerto Rico,XXXXXXXXX,Carol,13134,Fuentes,XXXXXXXXX,Consumer,PR,1865 Dusty Deer Mountain,725.0,10,Technology,18.28666687,-66.0370636,Europe,Porto,Portugal,13134,12/1/2018 02:16,69581,1349,81.37000275,0.180000007,172896,452.0400085,0.340000004,1,452.0400085,370.6700134,125.2900009,Southern Europe,Porto,PENDING_PAYMENT,,1349,62,,http://images.acmesports.sports/Web+Camera,Web Camera,452.0400085,0,12/1/2018 02:16,First Class
PAYMENT,2,4,30.69000053,278.9700012,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,XXXXXXXXX,Carolyn,3532,Henderson,XXXXXXXXX,Consumer,PR,1984 Misty Rabbit Boulevard,725.0,3,Footwear,18.24504852,-66.3705368,Europe,Beauvais,Francia,3532,12/5/2018 16:23,67961,191,21.0,0.07,169899,99.98999786,0.109999999,3,299.9700012,278.9700012,30.69000053,Western Europe,Norte-Paso de Calais-Picardía,PENDING_PAYMENT,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,12/5/2018 16:23,Standard Class
PAYMENT,4,2,15.53999996,33.79000092,Late delivery,0,75,Video Games,Annandale,EE. UU.,XXXXXXXXX,Piper,17161,Sweeney,XXXXXXXXX,Home Office,VA,5149 Dusty Pony Common,22003.0,9,Discs Shop,38.81283569,-77.18642426,Pacific Asia,Mau,India,17161,12/14/2018 22:41,73608,1362,5.960000038,0.150000006,176923,39.75,0.460000008,1,39.75,33.79000092,15.53999996,South Asia,Madhya Pradesh,PENDING_PAYMENT,,1362,75,,http://images.acmesports.sports/Fighting+video+games,Fighting video games,39.75,0,12/14/2018 22:41,Second Class
DEBIT,2,4,51.0,254.9799957,Advance shipping,1,43,Camping & Hiking,Caguas,Puerto Rico,XXXXXXXXX,Mary,3940,Smith,XXXXXXXXX,Consumer,PR,7258 Burning Dale Mountain,725.0,7,Fan Shop,18.21918869,-66.37059021,Europe,Mulhouse,Francia,3940,12/30/2018 06:31,65561,957,45.0,0.150000006,163854,299.980011,0.200000003,1,299.980011,254.9799957,51.0,Western Europe,Alsacia-Champaña-Ardenas-Lorena,COMPLETE,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,12/30/2018 06:31,Standard Class
PAYMENT,2,4,25.20000076,1260.0,Advance shipping,0,64,Computers,Virginia Beach,EE. UU.,XXXXXXXXX,Geraldine,14334,Albert,XXXXXXXXX,Consumer,VA,6879 Emerald Way,23452.0,10,Technology,36.83838272,-76.11729431,Europe,Madrid,España,14334,12/1/2018 20:02,70781,1351,240.0,0.159999996,174096,1500.0,0.02,1,1500.0,1260.0,25.20000076,Southern Europe,Madrid,PENDING_PAYMENT,,1351,64,,http://images.acmesports.sports/Dell+Laptop,Dell Laptop,1500.0,0,12/1/2018 20:02,Standard Class
TRANSFER,3,4,-52.38999939,245.9799957,Advance shipping,0,43,Camping & Hiking,Chicago,EE. UU.,XXXXXXXXX,Roy,12205,Smith,XXXXXXXXX,Corporate,IL,1832 Indian Branch Beach,60617.0,7,Fan Shop,41.89603806,-87.67301941,Europe,Innsbruck,Austria,12205,12/9/2018 08:57,67032,957,54.0,0.180000007,167570,299.980011,-0.209999993,1,299.980011,245.9799957,-52.38999939,Western Europe,Tirol,PROCESSING,,957,43,,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,12/9/2018 08:57,Standard Class
CASH,4,4,26.39999962,299.9700012,Shipping on time,1,9,Cardio Equipment,Long Beach,EE. UU.,XXXXXXXXX,Mary,5910,Heath,XXXXXXXXX,Consumer,CA,7191 Jagged Avenue,90813.0,3,Footwear,33.78245163,-118.1922455,Europe,Randers,Dinamarca,5910,12/25/2018 05:59,67208,191,99.98999786,0.25,167978,99.98999786,0.090000004,4,399.9599915,299.9700012,26.39999962,Northern Europe,Jutlandia Central,CLOSED,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,12/25/2018 05:59,Standard Class
DEBIT,2,4,-23.14999962,124.4499969,Advance shipping,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,XXXXXXXXX,James,8721,Smith,XXXXXXXXX,Consumer,PR,6481 Wishing Anchor Centre,725.0,7,Fan Shop,18.23123169,-66.37056732,Europe,Munich,Alemania,8721,12/24/2018 01:36,65571,1014,25.48999977,0.170000002,163874,49.97999954,-0.189999998,3,149.9400024,124.4499969,-23.14999962,Western Europe,Bavaria,COMPLETE,,1014,46,,http://images.acmesports.sports/O%27Brien+Men%27s+Neoprene+Life+Vest,O'Brien Men's Neoprene Life Vest,49.97999954,0,12/24/2018 01:36,Standard Class
TRANSFER,2,1,-368.3800049,136.4400024,Late delivery,1,67,DVDs,Fullerton,EE. UU.,XXXXXXXXX,Josephine,18634,Deleon,XXXXXXXXX,Consumer,CA,4491 Silver Via,92833.0,9,Discs Shop,33.86329651,-117.9716263,Pacific Asia,Cangzhou,China,18634,12/28/2018 11:59,75081,1354,27.94000053,0.170000002,178396,164.3800049,-2.700000048,1,164.3800049,136.4400024,-368.3800049,Eastern Asia,Hebei,PROCESSING,,1354,67,,http://images.acmesports.sports/DVDs,DVDs ,164.3800049,0,12/28/2018 11:59,First Class
